company_name,order_time,product_name,price,quantity,total_price,customer_count,day_of_week,hour
Feed Up,2026-03-25 15:37:38,Burger,23000,2,46000,1,Wednesday,15
Max Way,2026-03-25 10:45:20,Burger,29500,1,29500,1,Wednesday,10
Max Way,2026-03-25 21:00:29,Burger,25000,1,25000,1,Wednesday,21
Oqtepa Lavash,2026-03-23 20:23:18,Cola,15500,2,31000,1,Monday,20
Oqtepa Lavash,2026-03-21 14:42:52,Cola,17000,1,17000,2,Saturday,14
Feed Up,2026-03-01 08:35:09,Lavash,28000,1,28000,1,Sunday,8
Oqtepa Lavash,2026-03-22 14:16:57,Hot-dog,15500,1,15500,1,Sunday,14
Oqtepa Lavash,2026-03-21 17:16:10,Lavash,35500,2,71000,2,Saturday,17
Max Way,2026-03-25 18:09:34,Lavash,24500,4,98000,1,Wednesday,18
Evos,2026-03-07 21:50:55,Lavash,24500,4,98000,1,Saturday,21
Evos,2026-03-21 20:26:39,Lavash,35500,1,35500,3,Saturday,20
Feed Up,2026-03-21 20:01:11,Cola,17500,4,70000,2,Saturday,20
Oqtepa Lavash,2026-03-19 11:10:50,Pizza,31500,2,63000,1,Thursday,11
Oqtepa Lavash,2026-03-25 12:52:50,Lavash,27500,1,27500,2,Wednesday,12
Oqtepa Lavash,2026-02-28 19:22:41,Lavash,32000,2,64000,3,Saturday,19
Max Way,2026-03-01 22:11:37,Cola,16000,1,16000,1,Sunday,22
Oqtepa Lavash,2026-03-10 22:07:24,Hot-dog,24000,1,24000,1,Tuesday,22
Oqtepa Lavash,2026-03-21 18:47:47,Burger,28000,2,56000,1,Saturday,18
Max Way,2026-03-07 20:46:57,Burger,31500,2,63000,2,Saturday,20
Oqtepa Lavash,2026-03-14 10:42:24,Hot-dog,17500,2,35000,1,Saturday,10
Max Way,2026-03-06 13:37:38,Lavash,34000,1,34000,1,Friday,13
Max Way,2026-03-21 21:47:10,Burger,24500,1,24500,2,Saturday,21
Max Way,2026-03-26 11:19:14,Lavash,27000,1,27000,1,Thursday,11
Feed Up,2026-03-21 13:56:40,Pizza,39000,1,39000,2,Saturday,13
Max Way,2026-03-17 00:48:55,Lavash,36000,4,144000,2,Tuesday,0
Evos,2026-03-18 13:35:15,Fries,22000,4,88000,1,Wednesday,13
KFC,2026-03-27 16:48:57,Pizza,37000,2,74000,2,Friday,16
Max Way,2026-03-14 21:47:55,Fries,18500,2,37000,2,Saturday,21
KFC,2026-03-21 14:15:17,Lavash,31000,1,31000,1,Saturday,14
Oqtepa Lavash,2026-03-14 08:14:24,Burger,26500,3,79500,1,Saturday,8
Oqtepa Lavash,2026-03-09 10:26:24,Pizza,39000,5,195000,1,Monday,10
Feed Up,2026-03-12 21:19:48,Pizza,36000,4,144000,3,Thursday,21
Oqtepa Lavash,2026-03-14 16:14:31,Hot-dog,18500,1,18500,1,Saturday,16
Oqtepa Lavash,2026-03-21 18:53:29,Pizza,32000,5,160000,1,Saturday,18
Feed Up,2026-03-17 07:27:08,Pizza,37000,1,37000,1,Tuesday,7
Oqtepa Lavash,2026-03-07 20:17:48,Burger,35000,1,35000,1,Saturday,20
Evos,2026-03-27 12:41:04,Burger,23000,3,69000,3,Friday,12
Evos,2026-03-01 08:42:07,Lavash,33000,5,165000,1,Sunday,8
Evos,2026-03-15 21:45:07,Burger,27000,5,135000,1,Sunday,21
Evos,2026-03-17 21:25:45,Burger,28000,1,28000,2,Tuesday,21
Max Way,2026-03-21 20:38:51,Lavash,25500,3,76500,1,Saturday,20
Evos,2026-03-17 06:41:21,Burger,22000,4,88000,2,Tuesday,6
Evos,2026-03-16 20:45:09,Cola,16500,1,16500,1,Monday,20
Max Way,2026-03-25 19:29:27,Pizza,39000,1,39000,2,Wednesday,19
KFC,2026-03-23 11:29:36,Lavash,33500,3,100500,1,Monday,11
Max Way,2026-03-12 12:16:21,Burger,30500,4,122000,2,Thursday,12
Oqtepa Lavash,2026-03-26 07:46:26,Lavash,31500,2,63000,1,Thursday,7
Oqtepa Lavash,2026-03-11 01:18:14,Hot-dog,21000,3,63000,1,Wednesday,1
Max Way,2026-03-14 13:47:35,Burger,32500,2,65000,1,Saturday,13
Oqtepa Lavash,2026-03-19 12:47:34,Lavash,36000,3,108000,1,Thursday,12
KFC,2026-03-15 19:38:18,Lavash,25500,4,102000,1,Sunday,19
Oqtepa Lavash,2026-03-18 08:02:03,Burger,31000,3,93000,1,Wednesday,8
Feed Up,2026-03-23 15:30:30,Burger,36000,2,72000,3,Monday,15
Evos,2026-03-01 06:31:04,Fries,19500,2,39000,1,Sunday,6
Evos,2026-03-07 23:07:35,Pizza,36500,2,73000,2,Saturday,23
Evos,2026-03-11 13:55:37,Burger,35500,1,35500,2,Wednesday,13
Max Way,2026-03-26 10:13:16,Hot-dog,16000,1,16000,1,Thursday,10
Evos,2026-03-11 15:18:02,Lavash,27500,1,27500,1,Wednesday,15
KFC,2026-03-04 11:50:40,Lavash,33000,3,99000,3,Wednesday,11
Oqtepa Lavash,2026-03-16 21:52:09,Pizza,31000,1,31000,2,Monday,21
Max Way,2026-03-25 13:29:44,Fries,17000,3,51000,3,Wednesday,13
Max Way,2026-02-28 04:27:47,Burger,32000,2,64000,1,Saturday,4
Evos,2026-03-22 15:01:48,Pizza,34000,2,68000,2,Sunday,15
Evos,2026-03-10 11:37:27,Burger,37500,5,187500,1,Tuesday,11
Oqtepa Lavash,2026-03-01 09:26:44,Burger,37500,1,37500,3,Sunday,9
KFC,2026-03-11 12:20:07,Pizza,36000,4,144000,2,Wednesday,12
Evos,2026-03-11 05:33:23,Fries,19500,3,58500,2,Wednesday,5
KFC,2026-03-14 21:28:56,Lavash,35000,2,70000,1,Saturday,21
Max Way,2026-03-19 12:00:35,Hot-dog,21500,1,21500,3,Thursday,12
Feed Up,2026-03-01 20:31:59,Burger,31000,2,62000,1,Sunday,20
KFC,2026-03-05 14:24:12,Cola,17000,2,34000,2,Thursday,14
Feed Up,2026-03-21 13:59:50,Lavash,32000,1,32000,1,Saturday,13
KFC,2026-03-15 18:55:09,Fries,18500,2,37000,1,Sunday,18
Max Way,2026-03-11 12:12:44,Pizza,33500,2,67000,1,Wednesday,12
KFC,2026-03-20 18:51:24,Lavash,30000,5,150000,2,Friday,18
Max Way,2026-03-26 08:37:21,Lavash,25500,4,102000,1,Thursday,8
Max Way,2026-03-19 13:41:09,Burger,24000,2,48000,3,Thursday,13
Oqtepa Lavash,2026-03-16 20:54:43,Hot-dog,23500,2,47000,1,Monday,20
KFC,2026-03-23 03:04:15,Hot-dog,19500,5,97500,2,Monday,3
Oqtepa Lavash,2026-03-16 20:28:10,Lavash,35000,1,35000,1,Monday,20
Oqtepa Lavash,2026-03-08 13:15:33,Lavash,30500,2,61000,2,Sunday,13
Evos,2026-03-23 16:15:31,Lavash,33000,1,33000,1,Monday,16
Evos,2026-02-26 19:57:18,Lavash,34500,2,69000,1,Thursday,19
Feed Up,2026-03-07 21:44:16,Cola,16500,4,66000,1,Saturday,21
Oqtepa Lavash,2026-03-05 15:36:18,Burger,31000,1,31000,2,Thursday,15
Oqtepa Lavash,2026-03-23 19:03:58,Lavash,33500,3,100500,2,Monday,19
Feed Up,2026-03-04 19:14:40,Hot-dog,18000,2,36000,2,Wednesday,19
KFC,2026-03-22 17:57:40,Pizza,40000,1,40000,2,Sunday,17
Evos,2026-03-01 21:20:47,Burger,35000,1,35000,1,Sunday,21
Max Way,2026-03-14 21:53:10,Cola,16000,4,64000,3,Saturday,21
Feed Up,2026-03-23 19:29:04,Burger,26500,3,79500,1,Monday,19
Max Way,2026-03-09 20:35:23,Pizza,31000,3,93000,1,Monday,20
Max Way,2026-03-17 18:37:24,Burger,33500,1,33500,1,Tuesday,18
Evos,2026-03-14 21:14:41,Fries,15500,2,31000,1,Saturday,21
KFC,2026-03-01 04:02:19,Pizza,37500,1,37500,1,Sunday,4
Max Way,2026-03-08 21:44:34,Burger,35000,2,70000,2,Sunday,21
Feed Up,2026-03-22 16:17:02,Pizza,35500,1,35500,1,Sunday,16
Evos,2026-03-27 12:57:41,Burger,33000,1,33000,1,Friday,12
Feed Up,2026-03-22 07:13:41,Cola,17500,2,35000,1,Sunday,7
KFC,2026-03-01 15:04:53,Lavash,36000,2,72000,1,Sunday,15
KFC,2026-03-21 19:38:00,Lavash,28000,4,112000,1,Saturday,19
Evos,2026-03-02 18:01:08,Lavash,24000,2,48000,2,Monday,18
Max Way,2026-03-06 08:26:33,Lavash,25500,3,76500,1,Friday,8
KFC,2026-03-01 14:39:02,Burger,31500,2,63000,3,Sunday,14
Evos,2026-03-09 18:31:45,Burger,36000,1,36000,1,Monday,18
Max Way,2026-03-06 17:35:45,Lavash,29000,2,58000,1,Friday,17
Oqtepa Lavash,2026-03-10 19:07:54,Burger,28500,2,57000,2,Tuesday,19
Oqtepa Lavash,2026-03-09 18:20:27,Fries,17500,3,52500,1,Monday,18
Evos,2026-02-28 20:05:27,Cola,15000,3,45000,1,Saturday,20
Evos,2026-03-26 14:42:07,Lavash,30500,2,61000,2,Thursday,14
KFC,2026-03-19 21:38:19,Fries,17500,1,17500,1,Thursday,21
Evos,2026-03-22 12:35:23,Burger,25500,3,76500,1,Sunday,12
KFC,2026-03-27 20:39:43,Fries,20000,2,40000,1,Friday,20
Max Way,2026-02-27 11:48:19,Hot-dog,20000,2,40000,1,Friday,11
Evos,2026-02-28 19:01:05,Pizza,38000,1,38000,1,Saturday,19
Oqtepa Lavash,2026-03-19 19:36:38,Burger,24500,4,98000,1,Thursday,19
KFC,2026-02-28 13:27:31,Lavash,33500,2,67000,1,Saturday,13
KFC,2026-03-10 11:43:37,Lavash,31500,2,63000,1,Tuesday,11
Evos,2026-02-27 10:13:49,Cola,15500,3,46500,1,Friday,10
Evos,2026-03-10 08:34:45,Burger,29000,2,58000,2,Tuesday,8
KFC,2026-03-22 04:01:29,Lavash,25000,4,100000,1,Sunday,4
Max Way,2026-03-10 08:01:20,Hot-dog,17500,3,52500,1,Tuesday,8
KFC,2026-02-28 20:15:27,Fries,19500,2,39000,1,Saturday,20
Feed Up,2026-03-04 19:04:32,Hot-dog,16500,2,33000,1,Wednesday,19
KFC,2026-03-26 17:09:15,Burger,25000,1,25000,1,Thursday,17
Max Way,2026-03-17 10:49:40,Hot-dog,22500,2,45000,1,Tuesday,10
Max Way,2026-03-23 17:39:20,Hot-dog,20000,1,20000,1,Monday,17
Oqtepa Lavash,2026-03-06 05:32:04,Burger,31500,2,63000,1,Friday,5
Oqtepa Lavash,2026-03-16 22:05:39,Burger,38000,2,76000,1,Monday,22
Feed Up,2026-02-27 21:36:41,Hot-dog,18000,1,18000,1,Friday,21
Evos,2026-02-28 21:21:45,Lavash,25000,2,50000,1,Saturday,21
Evos,2026-03-10 14:10:23,Burger,33500,4,134000,1,Tuesday,14
KFC,2026-02-27 17:21:04,Pizza,35000,1,35000,2,Friday,17
Oqtepa Lavash,2026-03-17 21:55:09,Hot-dog,20000,1,20000,2,Tuesday,21
Feed Up,2026-03-17 18:08:38,Burger,24500,1,24500,1,Tuesday,18
KFC,2026-03-17 20:47:43,Fries,22000,2,44000,2,Tuesday,20
Oqtepa Lavash,2026-03-08 10:13:21,Burger,37500,1,37500,3,Sunday,10
Evos,2026-03-21 14:34:53,Burger,23000,3,69000,2,Saturday,14
Max Way,2026-03-02 10:44:49,Pizza,39500,3,118500,1,Monday,10
Oqtepa Lavash,2026-03-17 11:28:39,Burger,31000,3,93000,2,Tuesday,11
Evos,2026-03-26 19:57:53,Lavash,27000,2,54000,3,Thursday,19
Feed Up,2026-03-06 12:33:26,Burger,27000,3,81000,2,Friday,12
Evos,2026-03-16 20:35:59,Lavash,25500,3,76500,1,Monday,20
Evos,2026-03-02 13:32:09,Lavash,30500,1,30500,3,Monday,13
KFC,2026-03-25 13:25:32,Fries,17500,1,17500,3,Wednesday,13
Oqtepa Lavash,2026-03-25 20:41:21,Lavash,26000,1,26000,1,Wednesday,20
KFC,2026-03-01 18:28:39,Hot-dog,15000,4,60000,1,Sunday,18
Evos,2026-03-25 16:27:07,Lavash,36000,1,36000,1,Wednesday,16
Evos,2026-03-21 13:07:53,Burger,37500,2,75000,1,Saturday,13
Max Way,2026-03-01 13:39:22,Lavash,27500,2,55000,1,Sunday,13
Max Way,2026-03-08 21:34:32,Burger,38000,2,76000,1,Sunday,21
Oqtepa Lavash,2026-03-27 11:01:22,Pizza,31000,2,62000,2,Friday,11
Max Way,2026-03-19 12:02:22,Hot-dog,23500,1,23500,2,Thursday,12
KFC,2026-03-27 14:11:51,Hot-dog,17000,1,17000,2,Friday,14
Oqtepa Lavash,2026-02-27 10:02:20,Burger,31500,2,63000,3,Friday,10
Max Way,2026-03-20 10:22:55,Lavash,36000,1,36000,2,Friday,10
Oqtepa Lavash,2026-03-10 13:28:57,Hot-dog,21000,1,21000,1,Tuesday,13
KFC,2026-03-21 11:05:46,Burger,35500,1,35500,1,Saturday,11
KFC,2026-03-07 07:42:18,Pizza,34500,2,69000,2,Saturday,7
Evos,2026-03-11 18:58:22,Burger,35500,1,35500,3,Wednesday,18
Feed Up,2026-03-16 12:51:47,Lavash,34500,1,34500,1,Monday,12
KFC,2026-03-10 08:15:49,Pizza,40000,2,80000,1,Tuesday,8
Max Way,2026-03-17 21:23:28,Pizza,31000,2,62000,1,Tuesday,21
Oqtepa Lavash,2026-03-05 08:47:11,Pizza,37500,2,75000,3,Thursday,8
Evos,2026-03-18 11:39:18,Hot-dog,22500,1,22500,1,Wednesday,11
Evos,2026-03-19 23:51:43,Lavash,29000,3,87000,2,Thursday,23
Max Way,2026-03-07 09:45:59,Burger,27500,3,82500,1,Saturday,9
Evos,2026-03-01 19:01:23,Lavash,32500,2,65000,1,Sunday,19
Feed Up,2026-03-23 06:25:45,Lavash,35500,2,71000,1,Monday,6
Oqtepa Lavash,2026-03-01 12:04:28,Pizza,37000,3,111000,1,Sunday,12
Feed Up,2026-03-16 10:08:27,Hot-dog,23000,4,92000,1,Monday,10
Evos,2026-03-02 12:45:14,Lavash,29500,5,147500,1,Monday,12
Oqtepa Lavash,2026-03-03 21:17:08,Lavash,34000,1,34000,1,Tuesday,21
Max Way,2026-03-25 09:42:39,Lavash,35500,4,142000,1,Wednesday,9
Feed Up,2026-03-23 07:41:49,Lavash,33000,1,33000,1,Monday,7
Max Way,2026-02-27 20:34:18,Pizza,40000,5,200000,1,Friday,20
KFC,2026-03-07 07:03:10,Hot-dog,22000,2,44000,1,Saturday,7
Oqtepa Lavash,2026-03-22 12:55:22,Lavash,30000,1,30000,1,Sunday,12
Max Way,2026-03-11 11:15:09,Burger,25000,1,25000,3,Wednesday,11
Feed Up,2026-03-26 21:52:20,Burger,32000,1,32000,1,Thursday,21
Feed Up,2026-03-23 14:05:25,Burger,38000,2,76000,1,Monday,14
Max Way,2026-03-06 16:53:41,Lavash,34500,2,69000,1,Friday,16
KFC,2026-03-23 18:48:25,Burger,33500,1,33500,1,Monday,18
Max Way,2026-03-06 13:28:48,Burger,30500,4,122000,2,Friday,13
Max Way,2026-02-28 12:21:35,Lavash,29500,3,88500,1,Saturday,12
Max Way,2026-02-27 08:21:51,Burger,37000,2,74000,1,Friday,8
Feed Up,2026-03-25 12:25:39,Lavash,35500,4,142000,1,Wednesday,12
Max Way,2026-03-12 14:30:52,Burger,22500,2,45000,2,Thursday,14
Feed Up,2026-03-21 18:44:40,Pizza,30000,2,60000,1,Saturday,18
Max Way,2026-03-15 11:03:37,Cola,16500,1,16500,2,Sunday,11
Max Way,2026-03-01 18:02:36,Fries,20500,1,20500,1,Sunday,18
Oqtepa Lavash,2026-03-18 13:49:39,Lavash,31500,4,126000,2,Wednesday,13
Evos,2026-03-03 12:42:30,Lavash,32000,2,64000,3,Tuesday,12
Oqtepa Lavash,2026-03-14 18:55:46,Burger,30000,2,60000,1,Saturday,18
Evos,2026-03-04 22:19:49,Pizza,34500,3,103500,2,Wednesday,22
Max Way,2026-03-14 21:46:17,Burger,31000,1,31000,2,Saturday,21
Oqtepa Lavash,2026-03-22 21:51:09,Cola,16000,1,16000,3,Sunday,21
Evos,2026-03-17 19:13:12,Cola,18000,2,36000,3,Tuesday,19
KFC,2026-03-15 15:15:03,Lavash,34500,4,138000,1,Sunday,15
Evos,2026-03-07 13:43:49,Lavash,26000,1,26000,1,Saturday,13
Feed Up,2026-03-25 20:30:41,Burger,28000,3,84000,1,Wednesday,20
Oqtepa Lavash,2026-03-21 17:14:34,Lavash,35500,3,106500,3,Saturday,17
Feed Up,2026-03-23 10:58:02,Lavash,30000,3,90000,1,Monday,10
KFC,2026-03-06 03:19:36,Fries,19500,1,19500,3,Friday,3
Oqtepa Lavash,2026-03-14 14:08:54,Cola,17000,2,34000,1,Saturday,14
Evos,2026-03-11 11:11:00,Lavash,35500,1,35500,1,Wednesday,11
Max Way,2026-03-15 17:25:52,Lavash,30500,2,61000,1,Sunday,17
Max Way,2026-03-01 12:15:00,Lavash,28000,2,56000,1,Sunday,12
Oqtepa Lavash,2026-03-15 15:16:41,Burger,33500,3,100500,1,Sunday,15
Evos,2026-03-09 14:57:56,Burger,31500,3,94500,2,Monday,14
Feed Up,2026-03-04 21:30:09,Burger,36500,3,109500,1,Wednesday,21
Oqtepa Lavash,2026-03-11 14:42:52,Pizza,33000,3,99000,2,Wednesday,14
Max Way,2026-03-13 14:23:04,Hot-dog,24000,1,24000,2,Friday,14
Feed Up,2026-03-14 09:54:33,Lavash,31000,1,31000,1,Saturday,9
Max Way,2026-03-13 19:29:08,Lavash,32000,2,64000,1,Friday,19
Max Way,2026-03-07 02:16:52,Pizza,30000,3,90000,1,Saturday,2
Evos,2026-02-28 23:59:57,Burger,24000,5,120000,1,Saturday,23
Oqtepa Lavash,2026-03-01 17:46:41,Lavash,30500,2,61000,2,Sunday,17
Oqtepa Lavash,2026-03-08 07:42:55,Fries,19000,1,19000,2,Sunday,7
Evos,2026-03-09 08:14:53,Cola,15000,3,45000,3,Monday,8
Oqtepa Lavash,2026-03-10 12:14:15,Hot-dog,22000,2,44000,1,Tuesday,12
Feed Up,2026-03-01 19:26:39,Hot-dog,15000,1,15000,1,Sunday,19
Max Way,2026-03-17 20:15:47,Burger,23000,2,46000,1,Tuesday,20
Evos,2026-02-28 14:18:14,Fries,21500,4,86000,1,Saturday,14
Max Way,2026-03-22 11:56:09,Hot-dog,23000,1,23000,1,Sunday,11
Evos,2026-03-23 21:40:43,Cola,16500,2,33000,1,Monday,21
Oqtepa Lavash,2026-03-08 14:44:26,Pizza,36500,1,36500,1,Sunday,14
KFC,2026-03-22 12:45:09,Burger,36500,4,146000,1,Sunday,12
Feed Up,2026-03-01 11:13:21,Pizza,40000,1,40000,1,Sunday,11
Oqtepa Lavash,2026-03-22 05:24:43,Burger,23000,4,92000,1,Sunday,5
KFC,2026-03-14 14:55:58,Hot-dog,20000,1,20000,3,Saturday,14
Evos,2026-03-20 19:48:30,Lavash,27500,3,82500,2,Friday,19
Oqtepa Lavash,2026-03-07 11:29:34,Lavash,34000,2,68000,1,Saturday,11
Max Way,2026-02-28 22:30:48,Burger,32000,4,128000,1,Saturday,22
Oqtepa Lavash,2026-03-04 09:16:35,Pizza,39000,2,78000,1,Wednesday,9
Evos,2026-03-08 20:31:35,Burger,32500,1,32500,2,Sunday,20
Feed Up,2026-03-12 09:50:22,Pizza,32500,1,32500,1,Thursday,9
Evos,2026-03-27 21:33:02,Fries,21500,4,86000,3,Friday,21
Max Way,2026-03-09 20:14:04,Hot-dog,17000,1,17000,1,Monday,20
Oqtepa Lavash,2026-03-17 16:30:42,Pizza,37500,1,37500,1,Tuesday,16
Oqtepa Lavash,2026-03-19 14:18:01,Lavash,32000,3,96000,2,Thursday,14
KFC,2026-03-01 07:09:15,Fries,16500,2,33000,1,Sunday,7
Oqtepa Lavash,2026-02-28 21:29:36,Hot-dog,18500,5,92500,1,Saturday,21
KFC,2026-03-16 20:48:02,Fries,15500,2,31000,1,Monday,20
Oqtepa Lavash,2026-03-18 07:54:27,Pizza,40000,3,120000,1,Wednesday,7
KFC,2026-03-14 04:13:57,Lavash,35000,4,140000,1,Saturday,4
Evos,2026-03-25 21:36:42,Lavash,24500,1,24500,2,Wednesday,21
Evos,2026-03-01 20:52:25,Lavash,25000,1,25000,1,Sunday,20
Max Way,2026-03-17 14:24:48,Fries,20500,1,20500,3,Tuesday,14
KFC,2026-03-27 05:27:14,Burger,24000,2,48000,2,Friday,5
Feed Up,2026-03-21 02:17:50,Burger,36000,2,72000,1,Saturday,2
Feed Up,2026-03-17 18:05:49,Burger,31000,3,93000,2,Tuesday,18
Evos,2026-03-19 17:47:24,Lavash,29000,2,58000,1,Thursday,17
Feed Up,2026-03-20 07:05:11,Burger,35500,2,71000,1,Friday,7
Oqtepa Lavash,2026-03-08 07:38:50,Lavash,29000,4,116000,1,Sunday,7
Oqtepa Lavash,2026-03-19 14:15:36,Hot-dog,23000,1,23000,1,Thursday,14
Evos,2026-03-12 06:27:17,Burger,35000,1,35000,2,Thursday,6
Oqtepa Lavash,2026-03-19 14:39:12,Cola,16500,1,16500,1,Thursday,14
Feed Up,2026-03-15 19:21:28,Burger,32500,2,65000,2,Sunday,19
Max Way,2026-03-07 16:44:12,Pizza,37500,1,37500,3,Saturday,16
Feed Up,2026-03-18 14:36:50,Burger,29500,1,29500,1,Wednesday,14
KFC,2026-03-25 10:34:11,Burger,22500,5,112500,1,Wednesday,10
KFC,2026-03-07 18:52:54,Burger,35000,3,105000,1,Saturday,18
Oqtepa Lavash,2026-03-02 13:24:04,Lavash,31000,5,155000,1,Monday,13
Oqtepa Lavash,2026-03-25 18:34:02,Burger,33500,3,100500,2,Wednesday,18
Max Way,2026-03-01 11:42:22,Fries,16000,3,48000,1,Sunday,11
Feed Up,2026-03-09 19:50:27,Pizza,31500,1,31500,1,Monday,19
Max Way,2026-03-15 15:28:23,Burger,34500,2,69000,2,Sunday,15
KFC,2026-03-27 14:18:26,Lavash,25000,1,25000,3,Friday,14
Evos,2026-03-11 10:30:22,Burger,37000,1,37000,2,Wednesday,10
Oqtepa Lavash,2026-02-27 18:01:54,Lavash,29000,3,87000,2,Friday,18
Evos,2026-03-05 10:10:21,Cola,17000,2,34000,1,Thursday,10
KFC,2026-03-03 18:25:01,Pizza,39500,4,158000,1,Tuesday,18
Oqtepa Lavash,2026-03-04 11:45:51,Lavash,25000,2,50000,2,Wednesday,11
Max Way,2026-03-03 08:42:55,Burger,37500,2,75000,2,Tuesday,8
Max Way,2026-03-15 12:54:29,Pizza,39500,1,39500,2,Sunday,12
KFC,2026-03-15 18:20:07,Fries,16500,1,16500,1,Sunday,18
KFC,2026-03-10 08:24:27,Burger,27500,2,55000,1,Tuesday,8
Feed Up,2026-03-02 09:18:08,Cola,15500,1,15500,1,Monday,9
Evos,2026-02-26 08:52:24,Burger,38000,3,114000,1,Thursday,8
Max Way,2026-03-10 09:36:01,Hot-dog,18500,1,18500,1,Tuesday,9
Max Way,2026-03-11 19:49:31,Lavash,32500,2,65000,1,Wednesday,19
Oqtepa Lavash,2026-03-27 14:48:02,Pizza,37000,2,74000,3,Friday,14
Evos,2026-03-20 12:02:28,Fries,17000,2,34000,2,Friday,12
Oqtepa Lavash,2026-03-21 11:51:47,Cola,17000,3,51000,2,Saturday,11
Max Way,2026-03-15 19:52:13,Burger,23500,2,47000,1,Sunday,19
Max Way,2026-03-27 11:36:17,Lavash,32000,5,160000,2,Friday,11
Evos,2026-03-21 21:17:55,Cola,17500,1,17500,2,Saturday,21
Evos,2026-03-22 19:43:25,Hot-dog,22500,1,22500,2,Sunday,19
Max Way,2026-02-28 19:49:05,Burger,34500,2,69000,1,Saturday,19
Feed Up,2026-03-26 12:00:55,Burger,24500,3,73500,1,Thursday,12
Max Way,2026-02-28 14:13:27,Burger,28500,2,57000,1,Saturday,14
Oqtepa Lavash,2026-03-01 20:50:21,Pizza,30500,1,30500,2,Sunday,20
KFC,2026-03-25 09:29:00,Lavash,30500,1,30500,2,Wednesday,9
Evos,2026-03-02 21:17:05,Pizza,40000,2,80000,1,Monday,21
Max Way,2026-02-27 17:46:44,Pizza,33500,2,67000,1,Friday,17
Evos,2026-02-28 15:33:43,Lavash,31000,1,31000,2,Saturday,15
KFC,2026-03-10 08:04:14,Cola,16500,1,16500,2,Tuesday,8
Evos,2026-03-07 12:52:48,Burger,26000,3,78000,2,Saturday,12
Evos,2026-03-15 09:22:46,Pizza,33000,2,66000,1,Sunday,9
Oqtepa Lavash,2026-03-22 07:06:08,Hot-dog,16500,2,33000,1,Sunday,7
Feed Up,2026-03-01 11:05:15,Burger,31000,3,93000,2,Sunday,11
KFC,2026-03-07 14:32:12,Pizza,36000,1,36000,1,Saturday,14
Feed Up,2026-03-12 08:31:40,Cola,17000,1,17000,2,Thursday,8
Evos,2026-03-07 13:53:36,Burger,35000,2,70000,2,Saturday,13
KFC,2026-03-21 01:04:00,Cola,16000,1,16000,3,Saturday,1
Feed Up,2026-03-06 18:49:26,Burger,35500,3,106500,1,Friday,18
Max Way,2026-03-06 12:32:58,Pizza,33000,5,165000,1,Friday,12
Oqtepa Lavash,2026-03-20 17:41:04,Pizza,34500,3,103500,2,Friday,17
KFC,2026-02-28 13:29:39,Lavash,33500,1,33500,2,Saturday,13
